word                                                                                count
listen                                                                                 60
proposes                                                                               60
thought                                                                                60
agenda                                                                                 60
outside                                                                                60
children                                                                               60
agriculture                                                                            60
kill                                                                                   59
budget                                                                                 59
put                                                                                    59
myth                                                                                   59
obamas                                                                                 59
economic                                                                               59
yall                                                                                   59
enough                                                                                 59
needs                                                                                  59
american                                                                               59
move                                                                                   59
explain                                                                                58
waste                                                                                  58
rising                                                                                 58
fucking                                                                                58
worry                                                                                  58
story                                                                                  58
voted                                                                                  58
talking                                                                                58
flood                                                                                  58
tells                                                                                  57
life                                                                                   57
concerned                                                                              57
anything                                                                               57
ago                                                                                    57
seriously                                                                              57
installing                                                                             56
species                                                                                56
funding                                                                                56
level                                                                                  56
remember                                                                               56
getting                                                                                56
free                                                                                   56
gop                                                                                    56
main                                                                                   55
oh                                                                                     55
uk                                                                                     55
leonardo                                                                               55
trying                                                                                 55
meet                                                                                   55
defense                                                                                55
ask                                                                                    55
conference                                                                             55
reform                                                                                 55
harvey                                                                                 55
r                                                                                      55
scam                                                                                   55
fossil                                                                                 54
live                                                                                   54
working                                                                                54
love                                                                                   54
asked                                                                                  54
business                                                                               54
become                                                                                 54
power                                                                                  54
comes                                                                                  54
ocean                                                                                  54
executive                                                                              53
cnn                                                                                    53
solution                                                                               53
age                                                                                    52
whole                                                                                  52
anyone                                                                                 52
solutions                                                                              52
signs                                                                                  52
emails                                                                                 52
companies                                                                              52
question                                                                               51
march                                                                                  51
aicle                                                                                  51
john                                                                                   51
home                                                                                   51
equality                                                                               51
learn                                                                                  51
disaster                                                                               51
globalwarming                                                                          51
always                                                                                 51
warm                                                                                   51
done                                                                                   51
whats                                                                                  50
pick                                                                                   50
immigration                                                                            50
c                                                                                      50
solve                                                                                  50
high                                                                                   50
email                                                                                  50
wait                                                                                   49
let                                                                                    49
sure                                                                                   49
trade                                                                                  49
club                                                                                   49
warns                                                                                  49
ways                                                                                   49
alias                                                                                  49
curb                                                                                   49
fear                                                                                   49
everything                                                                             49
york                                                                                   49
ur                                                                                     49
humanity                                                                               49
meeting                                                                                49
film                                                                                   49
actonclimate                                                                           49
dicaprio                                                                               48
india                                                                                  48
history                                                                                48
battle                                                                                 48
side                                                                                   48
case                                                                                   48
little                                                                                 48
worst                                                                                  48
pact                                                                                   47
nations                                                                                47
cost                                                                                   47
tax                                                                                    47
